record_id,docket_entry,attachment_number,filed_date_iso,docket_description,document_label,document_type,public_access_status,file_name,page_count_exact,size_bytes,sha256,sha1,md5,recap_pdf_url,internet_archive_url,courtlistener_document_url,pacer_pdf_url,pacer_price_usd
NJD-0011-000,8,0,2023-09-08,"NOTICE of Appearance by NATALIA SALAS on behalf of CITY OF CLEVELAND, OHIO (SALAS, NATALIA) (Entered: 09/08/2023)",Main Document,Notice of Appearance,PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/8/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020336883,
NJD-0012-000,10,0,2023-09-11,"NOTICE of Appearance by MICHAEL J ANGELIDES on behalf of JACKSON COUNTY, MISSOURI (ANGELIDES, MICHAEL) (Entered: 09/11/2023)",Main Document,Notice of Appearance,PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/10/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020349580,
NJD-0013-000,9,0,2023-09-11,"NOTICE of Appearance by JAYNE CONROY on behalf of JACKSON COUNTY, MISSOURI (CONROY, JAYNE) (Entered: 09/11/2023)",Main Document,Notice of Appearance,PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/9/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020349546,
NJD-0014-000,800004,0,2023-09-11,,Main Document,Order,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800004/insulin-pricing-litigation/,,
NJD-0015-000,12,0,2023-09-12,"Minute Entry for proceedings held before Judge Brian R. Martinotti: Status Conference held on 9/12/2023. (Court Reporter, Tammera Witte (973-457-8230)) (lr, ) (Entered: 09/12/2023)",Main Document,Status Conference,FREE_RECAP_PDF_AVAILABLE,0012-000.pdf,2,152214,e427e6d5d561d89440e75a78f93dd8f6b4139eec9af7327c5c82df6280961704,d6efefc3f275e6147409e36725227e93ec344191,390b2351a1f420ca73dac7db0173982a,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.12.0.pdf,https://archive.org/download/gov.uscourts.njd.515893/gov.uscourts.njd.515893.12.0.pdf,https://www.courtlistener.com/docket/67665081/12/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020360969,
NJD-0016-000,15,0,2023-09-14,"NOTICE of Appearance by CHRISTOPHER A. SEEGER on behalf of CITY OF CLEVELAND, OHIO, County of Albany, New York, STATE OF ILLINOIS (SEEGER, CHRISTOPHER) (Entered: 09/14/2023)",Main Document,Notice of Appearance,PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/15/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020374937,
NJD-0017-000,14,0,2023-09-14,"NOTICE of Appearance by DAVID R. BUCHANAN on behalf of City of Cleveland, OH, County of Albany, New York, Lake County, IL (BUCHANAN, DAVID) (Entered: 09/14/2023)",Main Document,Notice of Appearance,PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/14/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020374893,
NJD-0018-000,13,0,2023-09-14,"NOTICE of Appearance by STEVEN J. DAROCI on behalf of County of Albany, New York, City of Cleveland, OH, Lake County, IL (DAROCI, STEVEN) (Entered: 09/14/2023)",Main Document,Notice of Appearance,PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/13/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020374840,
NJD-0019-000,11,0,2023-09-11,"MDL TEXT ORDER: All persons appearing in person tomorrow (September 12) for the Insulin MDL Initial Case Management Conference should arrive to Courtroom 1 by no later than 9:45am. The conference will start promptly at 10:00am. While in person appearances are preferred, the Court will open telephone conference line. The call-in information is as follows: Participants will dial (1-888-684-8852) and the Access Code (1852046#) to join in on the conference call. Counsel shall be on the phone conference (5) minutes before the scheduled start. SO ORDERED by Judge Brian R. Martinotti on 09/11/2023. (lr, ) (Entered: 09/11/2023)",Main Document,Order,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/11/insulin-pricing-litigation/,,
NJD-0020-000,16,0,2023-09-14,"AMENDED DOCUMENT by City of Cleveland, OH, County of Albany, New York, Lake County, IL. Amendment to 15 Notice of Appearance . (SEEGER, CHRISTOPHER) (Entered: 09/14/2023)",Main Document,Amended Document (NOT Motion/Complaint),PACER_LINK_AVAILABLE,,,,,,,,,https://www.courtlistener.com/docket/67665081/16/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020375306,
NJD-0021-000,17,0,2023-09-18,"Transcript of Status Conference held on September 12, 2023, before Judge Brian R. Martinotti. Court Reporter: Tammera Witte (973-457-8230). NOTICE REGARDING (1) REDACTION OF PERSONAL IDENTIFIERS IN TRANSCRIPTS AND (2) MOTION TO REDACT AND SEAL: The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this Transcript to comply with Fed.R.Civ.P.5.2(a) (personal identifiers). Parties seeking to redact and seal this Transcript, or portions thereof, pursuant to L.Civ.R. 5.3(g) must e-file a Motion to Redact and Seal utilizing the event `Redact and Seal Transcript/Digital Recording`. Redaction Request to Court Reporter due, but not filed, by 10/10/2023. Redacted Transcript Deadline set for 10/19/2023. Release of Transcript Restriction set for 12/18/2023. (adc) (Entered: 09/18/2023)",Main Document,Transcript,FREE_RECAP_PDF_AVAILABLE,0017-000.pdf,56,569559,5120ba3496963ab86d4d0bc57d5f2c29dbb275881d62b5f9ea43faa754b94477,ff3f5383ea9ba87a731aaa300c17e6d9cf1f6a3e,2a4dcd7e93954a280bae408036a4d9e8,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.17.0.pdf,,https://www.courtlistener.com/docket/67665081/17/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020389749,
NJD-0022-000,800005,0,2023-09-18,"CLERK'S QUALITY CONTROL MESSAGE - The Notice of Appearance filed by NATALIA SALAS at ECF #8 on 9/8/2023 was incorrectly filed on the master docket. Notices of Appearance are to be filed in individual matters only, at which time counsel will be added to MDL 3080 by the Clerk's office for noticing. This entry will be removed from the master docket and filed in the appropriate member case. (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800005/insulin-pricing-litigation/,,
NJD-0023-000,18,0,2023-09-19,"Letter from Counsel Submitting Proposed Case Management Order # 2. (Attachments: # 1 Text of Proposed Order, # 2 Certificate of Service)(TORTORELLA, JOHN) (Entered: 09/19/2023)",Main Document,Letter,FREE_RECAP_PDF_AVAILABLE,0018-000.pdf,2,167932,a641cea6f418f5749b3c821339ffca82c5b1841f912fd1c01b47604dab3561e2,0e5403aa1ecbe275eb50f8ddc8791cb6cd3726f8,efe49c29440f9f84bdb6433d343d3c0d,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.18.0.pdf,,https://www.courtlistener.com/docket/67665081/18/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020399841,
NJD-0023-001,18,1,2023-09-19,"Letter from Counsel Submitting Proposed Case Management Order # 2. (Attachments: # 1 Text of Proposed Order, # 2 Certificate of Service)(TORTORELLA, JOHN) (Entered: 09/19/2023)",Attachment 1,Text of Proposed Order,FREE_RECAP_PDF_AVAILABLE,0018-001.pdf,3,160400,b265055611fabef01aac0448595d4a795cfd1776c2683de70d68b3059319e0b9,1916fb440b0d56e05743cbb35f1f8430c7a2ff25,d9e632f9b20ff65cbddf1611ed9194d1,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.18.1.pdf,,https://www.courtlistener.com/docket/67665081/18/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020399842,
NJD-0023-002,18,2,2023-09-19,"Letter from Counsel Submitting Proposed Case Management Order # 2. (Attachments: # 1 Text of Proposed Order, # 2 Certificate of Service)(TORTORELLA, JOHN) (Entered: 09/19/2023)",Attachment 2,Certificate of Service,FREE_RECAP_PDF_AVAILABLE,0018-002.pdf,1,220009,91cd7b99b1174b0392db9edce702dad9a4a0e032f559caedbaecd302e9c92bd7,9d424c1ce25a2d4e89d8eefa5f4b6e4fb9f5f81c,9a1e9d5cb939635f1b81935323a56840,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.18.2.pdf,,https://www.courtlistener.com/docket/67665081/18/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020399843,
NJD-0024-000,800006,0,2023-09-18,"CLERK'S QUALITY CONTROL MESSAGE - The Notice of Appearance filed by JAYNE CONROY at ECF #9 on 9/11/2023 was incorrectly filed on the master docket. Notices of Appearance are to be filed in individual matters only, at which time counsel will be added to MDL 3080 by the Clerk's office for noticing. This entry will be removed from the master docket and filed in the appropriate member case (krg, ) (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800006/insulin-pricing-litigation/,,
NJD-0025-000,800007,0,2023-09-18,"CLERK'S QUALITY CONTROL MESSAGE - The Notice of Appearance filed by MICHAEL J ANGELIDES at ECF #10 on 9/11/2023 was incorrectly filed on the master docket. Notices of Appearance are to be filed in individual matters only, at which time counsel will be added to MDL 3080 by the Clerk's office for noticing. This entry will be removed from the master docket and filed in the appropriate member case (krg, ) (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800007/insulin-pricing-litigation/,,
NJD-0026-000,800008,0,2023-09-18,"CLERK'S QUALITY CONTROL MESSAGE - The Notice of Appearance filed by STEVEN J. DAROCI at ECF #13 on 9/14/2023 was incorrectly filed on the master docket. Notices of Appearance are to be filed in individual matters only, at which time counsel will be added to MDL 3080 by the Clerk's office for noticing. This entry will be removed from the master docket and filed in the appropriate member cases. (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800008/insulin-pricing-litigation/,,
NJD-0027-000,800009,0,2023-09-18,"CLERK'S QUALITY CONTROL MESSAGE - The Notice of Appearance filed by DAVID R. BUCHANAN at ECF #14 on 9/14/2023 was incorrectly filed on the master docket. Notices of Appearance are to be filed in individual matters only, at which time counsel will be added to MDL 3080 by the Clerk's office for noticing. This entry will be removed from the master docket and filed in the appropriate member cases. (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800009/insulin-pricing-litigation/,,
NJD-0028-000,800010,0,2023-09-18,"CLERK'S QUALITY CONTROL MESSAGE - The Notices of Appearance filed by CHRISTOPHER A. SEEGER at ECF #15 and #16 on 9/14/2023 were incorrectly filed on the master docket. Notices of Appearance are to be filed in individual matters only, at which time counsel will be added to MDL 3080 by the Clerk's office for noticing. This entry will be removed from the master docket and filed in the appropriate member cases. (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800010/insulin-pricing-litigation/,,
NJD-0029-000,19,0,2023-09-21,"CASE MANAGEMENT ORDER #2. Signed by Judge Brian R. Martinotti on 9/21/2023. (krg, ) (Entered: 09/21/2023)",Main Document,Order,FREE_RECAP_PDF_AVAILABLE,0019-000.pdf,3,178006,18bcfefbd2aed6093efff2573adf67c47129e226d52b0cddc238161f33421ed1,920b4cfc7e545e2f4972a3a5bc73cc5d44e493b6,e056e8cab428dd4846dda4fbf1afd536,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.19.0_2.pdf,https://archive.org/download/gov.uscourts.njd.515893/gov.uscourts.njd.515893.19.0.pdf,https://www.courtlistener.com/docket/67665081/19/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020408631,
NJD-0030-000,800011,0,2023-09-26,,Main Document,Remark (public),NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800011/insulin-pricing-litigation/,,
NJD-0031-000,800012,0,2023-09-27,"Pro Hac Vice fee for TROY RAFFERTY, BRANDON BOGLE, MATTHEW SCHULTZ, WILLIAM CASH and REBECCA TIMMONS: $ 750, receipt number NEW49052 (jr)",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800012/insulin-pricing-litigation/,,
NJD-0032-000,800013,0,2023-09-27,"Order Appointing Mediator - HON. JOSEPH A. DICKSON, U.S.M.J., ret. appointed. See 19 Case Management Order #2. This entry is for statistical purposes only. (krg)",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800013/insulin-pricing-litigation/,,
NJD-0033-000,800014,0,2023-09-26,"Remark: Judge Joseph A. Dickson, U.S.M.J. (ret.) added as mediator per 19 Case Management Order #2. (krg, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800014/insulin-pricing-litigation/,,
NJD-0034-000,800015,0,2023-09-26,"Pro Hac Vice fee received for Josh Wackerly and R. Johan Conrod: $ 300, receipt number 134780 (jjc, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800015/insulin-pricing-litigation/,,
NJD-0035-000,800016,0,2023-09-29,,Main Document,Pro Hac Vice Fee Received,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800016/insulin-pricing-litigation/,,
NJD-0036-000,20,0,2023-10-03,"Notice of Request by Pro Hac Vice James R. Dugan, II to receive Notices of Electronic Filings. (Attachments: # 1 Request by Local Counsel for Pro Hac Vice, # 2 Request by Local Counsel for Pro Hac Vice); Receipt numbers ANJDC-14748586, ANJDC-14748641, ANJDC-14748311 (DUGAN, JAMES) Modified on 10/3/2023 (krg, ). (Entered: 10/03/2023)",Main Document,Notice of Pro Hac Vice to Receive NEF,FREE_RECAP_PDF_AVAILABLE,0020-000.pdf,2,160542,2dbf2169fbd375359716403bf8d90f3055daf8dfa2693b800a218631a98207bb,8ceb8c812afdd3f99c16d234414035ec7278dd3d,21c2ebd9abadc72f209e116b7bbc1cf7,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.20.0.pdf,,https://www.courtlistener.com/docket/67665081/20/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020460440,
NJD-0036-001,20,1,2023-10-03,"Notice of Request by Pro Hac Vice James R. Dugan, II to receive Notices of Electronic Filings. (Attachments: # 1 Request by Local Counsel for Pro Hac Vice, # 2 Request by Local Counsel for Pro Hac Vice); Receipt numbers ANJDC-14748586, ANJDC-14748641, ANJDC-14748311 (DUGAN, JAMES) Modified on 10/3/2023 (krg, ). (Entered: 10/03/2023)",Attachment 1,Request by Local Counsel for Pro Hac Vice,FREE_RECAP_PDF_AVAILABLE,0020-001.pdf,1,160933,8d5670262516d043a8de01ee7911e0b22d34f323a5d603a3fe4c1fb58d13d0d2,4ea214bdf0ef59392b6c0e5ab93be43cbd12f212,7a699673adf149a3fcce79f1665107ec,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.20.1.pdf,https://archive.org/download/gov.uscourts.njd.515893/gov.uscourts.njd.515893.20.1.pdf,https://www.courtlistener.com/docket/67665081/20/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020460441,
NJD-0036-002,20,2,2023-10-03,"Notice of Request by Pro Hac Vice James R. Dugan, II to receive Notices of Electronic Filings. (Attachments: # 1 Request by Local Counsel for Pro Hac Vice, # 2 Request by Local Counsel for Pro Hac Vice); Receipt numbers ANJDC-14748586, ANJDC-14748641, ANJDC-14748311 (DUGAN, JAMES) Modified on 10/3/2023 (krg, ). (Entered: 10/03/2023)",Attachment 2,Request by Local Counsel for Pro Hac Vice,FREE_RECAP_PDF_AVAILABLE,0020-002.pdf,1,159906,2906fe65116fcfeeb9f624fc42be3296ab23e458c5a2021ed62594db9fbf68bd,c56c1fc2f54651c4d2d5ab522978daed0af22012,32234e37f90856d74f26e1d5522b540f,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.20.2.pdf,https://archive.org/download/gov.uscourts.njd.515893/gov.uscourts.njd.515893.20.2.pdf,https://www.courtlistener.com/docket/67665081/20/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020460442,
NJD-0037-000,800017,0,2023-10-03,"Pro Hac Vice fee received for Tanya Ellis, Courtney Hunt, Edwin Gault, Walter Watkins, Daniel Mullholland, Thomas Joel Fyke and Jennifer Studebaker: $ 1050, receipt number 134847 (jjc, ) Modified on 10/27/2023 (sms2).",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800017/insulin-pricing-litigation/,,
NJD-0038-000,800018,0,2023-10-12,,Main Document,Pro Hac Vice Fee Received,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800018/insulin-pricing-litigation/,,
NJD-0039-000,800019,0,2023-10-03,"Pro Hac Vice fee received for Tanya Ellis, Courtney Hunt, Edwin Gault, Walter Watkins, Daniel Mullholland, Thomas Joel Kyke and Jennifer Studebaker: $ 1050, receipt number 134847 (jjc, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800019/insulin-pricing-litigation/,,
NJD-0040-000,800020,0,2023-10-10,"Pro Hac Vice fee for RUSSELL BUDD, MARK PIFKO and JULES LE BLANC: $ 450, receipt number NEW49103 (jr)",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800020/insulin-pricing-litigation/,,
NJD-0041-000,800021,0,2023-10-16,"Set/Reset Hearings: Status Conference set for 11/28/2023 at 10:00 AM in Newark - Courtroom 1 before Judge Brian R. Martinotti. (lr, )",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800021/insulin-pricing-litigation/,,
NJD-0042-000,800022,0,2023-10-25,,Main Document,Pro Hac Vice Fee Received,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800022/insulin-pricing-litigation/,,
NJD-0043-000,800023,0,2023-10-26,"Pro Hac Vice fee: $ 750.00, receipt number NEW49176 as to KELLY BARNABY, MICHAEL HOERLEIN, KYLE HAIR, D. ANDREW HATCHETT & JEAN RICHMANN. (ps)",Main Document,1,NO_PUBLIC_PDF_LINK,,,,,,,,,https://www.courtlistener.com/docket/67665081/800023/insulin-pricing-litigation/,,
NJD-0044-000,21,0,2023-10-26,"MOTION to Consolidate Cases by MATTHEW F. GATELY. (Attachments: # 1 Memorandum Memorandum of Law, # 2 Declaration Declaration of Michael Tarringer, # 3 Text of Proposed Order Proposed Form of Order, # 4 Certificate of Service Cert of Service)(GATELY, MATTHEW) (Entered: 10/26/2023)",Main Document,Motion to Consolidate Cases,FREE_RECAP_PDF_AVAILABLE,0021-000.pdf,4,134284,ac1471098bc828323ef4c8fd3ffd293fa054f34e9e4ed6b747fe412ae212adeb,b77a0ec08ee42b10caa1f0841684abbbf5467c67,c17130fec47a150c0208f9f212a9511d,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.21.0.pdf,,https://www.courtlistener.com/docket/67665081/21/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020553407,
NJD-0044-001,21,1,2023-10-26,"MOTION to Consolidate Cases by MATTHEW F. GATELY. (Attachments: # 1 Memorandum Memorandum of Law, # 2 Declaration Declaration of Michael Tarringer, # 3 Text of Proposed Order Proposed Form of Order, # 4 Certificate of Service Cert of Service)(GATELY, MATTHEW) (Entered: 10/26/2023)",Attachment 1,Memorandum Memorandum of Law,FREE_RECAP_PDF_AVAILABLE,0021-001.pdf,11,301839,207aa870c3c7d87a66ac575196a3c2c88975930437164edd6bf17eb169a5383d,0ab17f588ef605c0c96d8046c40e0ae46585e3a8,49792e34ca74fca4d53ada7a7fead7c1,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.21.1_1.pdf,https://archive.org/download/gov.uscourts.njd.515893/gov.uscourts.njd.515893.21.1.pdf,https://www.courtlistener.com/docket/67665081/21/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020553408,
NJD-0044-002,21,2,2023-10-26,"MOTION to Consolidate Cases by MATTHEW F. GATELY. (Attachments: # 1 Memorandum Memorandum of Law, # 2 Declaration Declaration of Michael Tarringer, # 3 Text of Proposed Order Proposed Form of Order, # 4 Certificate of Service Cert of Service)(GATELY, MATTHEW) (Entered: 10/26/2023)",Attachment 2,Declaration Declaration of Michael Tarringer,FREE_RECAP_PDF_AVAILABLE,0021-002.pdf,2,1836188,5cc8004f5ae76b8d63d3fe9397513153673813ff6881f83fa8ddb081514d137c,d76228c9f4946db55547778c5311baf129314eb7,b1badb5ba33089a3bf7be4e24d2cf15d,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.21.2.pdf,,https://www.courtlistener.com/docket/67665081/21/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020553409,
NJD-0044-003,21,3,2023-10-26,"MOTION to Consolidate Cases by MATTHEW F. GATELY. (Attachments: # 1 Memorandum Memorandum of Law, # 2 Declaration Declaration of Michael Tarringer, # 3 Text of Proposed Order Proposed Form of Order, # 4 Certificate of Service Cert of Service)(GATELY, MATTHEW) (Entered: 10/26/2023)",Attachment 3,Text of Proposed Order Proposed Form of Order,FREE_RECAP_PDF_AVAILABLE,0021-003.pdf,2,161643,3c6d44533afcd5d3501d8bdaa15b55f5883fc5997e935b00189ce4b4b7c74886,981272169cc515dd2a6553c47d9957ae9dd011c9,c1e99432c4bb3d0878a7976bd4dcbacc,https://storage.courtlistener.com/recap/gov.uscourts.njd.515893/gov.uscourts.njd.515893.21.3.pdf,,https://www.courtlistener.com/docket/67665081/21/insulin-pricing-litigation/,https://ecf.njd.uscourts.gov/doc1/119020553410,
